dateTime,dateTime,heatContent
2011-05-22 12:00:00,2011-05-22 12:00:00,3071123524.313725
2011-05-23 12:00:00,2011-05-23 12:00:00,3101981358.82394
2011-05-24 12:00:00,2011-05-24 12:00:00,3129463239.5038333
2011-05-25 12:00:00,2011-05-25 12:00:00,3126240566.386989
2011-05-26 12:00:00,2011-05-26 12:00:00,3035382467.751107
2011-05-27 12:00:00,2011-05-27 12:00:00,3155455401.9160976
2011-05-28 12:00:00,2011-05-28 12:00:00,3227477264.559184
2011-05-29 12:00:00,2011-05-29 12:00:00,3220836018.4984446
2011-05-30 12:00:00,2011-05-30 12:00:00,3100781105.550459
2011-05-31 12:00:00,2011-05-31 12:00:00,3089537908.777984
2011-06-01 12:00:00,2011-06-01 12:00:00,3094654809.0898275
2011-06-02 12:00:00,2011-06-02 12:00:00,3137977483.496612
2011-06-03 12:00:00,2011-06-03 12:00:00,2957637433.044842
2011-06-04 12:00:00,2011-06-04 12:00:00,2961291119.125105
2011-06-05 12:00:00,2011-06-05 12:00:00,2975905652.2564025
2011-06-06 12:00:00,2011-06-06 12:00:00,3002020852.674736
2011-06-07 12:00:00,2011-06-07 12:00:00,2766587439.2196236
2011-06-08 12:00:00,2011-06-08 12:00:00,2857035899.444866
2011-06-09 12:00:00,2011-06-09 12:00:00,2941998256.0565243
2011-06-10 12:00:00,2011-06-10 12:00:00,3009083896.4657946
2011-06-11 12:00:00,2011-06-11 12:00:00,2951317665.0499954
2011-06-12 12:00:00,2011-06-12 12:00:00,2983581779.2535315
2011-06-13 12:00:00,2011-06-13 12:00:00,2956893014.3665032
2011-06-14 12:00:00,2011-06-14 12:00:00,2931167116.310522
2011-06-15 12:00:00,2011-06-15 12:00:00,2806043955.3696847
2011-06-16 12:00:00,2011-06-16 12:00:00,2762050265.29741
2011-06-17 12:00:00,2011-06-17 12:00:00,2798744879.13337
2011-06-18 12:00:00,2011-06-18 12:00:00,2835222256.9258204
2011-06-19 12:00:00,2011-06-19 12:00:00,2634567630.567387
2011-06-20 12:00:00,2011-06-20 12:00:00,2789680854.708303
2011-06-21 12:00:00,2011-06-21 12:00:00,2926810445.3701982
2011-06-22 12:00:00,2011-06-22 12:00:00,3009883335.692029
2011-06-23 12:00:00,2011-06-23 12:00:00,2817429891.450695
2011-06-24 12:00:00,2011-06-24 12:00:00,2863990741.055126
2011-06-25 12:00:00,2011-06-25 12:00:00,2918131451.0222964
2011-06-26 12:00:00,2011-06-26 12:00:00,2958644743.192795
2011-06-27 12:00:00,2011-06-27 12:00:00,2742695517.8551
2011-06-28 12:00:00,2011-06-28 12:00:00,2756942476.627726
2011-06-29 12:00:00,2011-06-29 12:00:00,2806746350.7453246
2011-06-30 12:00:00,2011-06-30 12:00:00,2852506652.428549
2011-07-01 12:00:00,2011-07-01 12:00:00,2773848943.132764
2011-07-02 12:00:00,2011-07-02 12:00:00,2758417719.04029
2011-07-03 12:00:00,2011-07-03 12:00:00,2745219670.0882072
2011-07-04 12:00:00,2011-07-04 12:00:00,2771725991.3420215
2011-07-05 12:00:00,2011-07-05 12:00:00,2400613760.2323747
2011-07-06 12:00:00,2011-07-06 12:00:00,2474084860.328288
2011-07-07 12:00:00,2011-07-07 12:00:00,2511450265.1059494
2011-07-08 12:00:00,2011-07-08 12:00:00,2579833408.984137
2011-07-09 12:00:00,2011-07-09 12:00:00,2831467950.370522
2011-07-10 12:00:00,2011-07-10 12:00:00,2891711129.9279943
2011-07-11 12:00:00,2011-07-11 12:00:00,2861208385.1108146
2011-07-12 12:00:00,2011-07-12 12:00:00,2835818374.2055674
2011-07-13 12:00:00,2011-07-13 12:00:00,3317881573.6743
2011-07-14 12:00:00,2011-07-14 12:00:00,3299301471.1167455
2011-07-15 12:00:00,2011-07-15 12:00:00,3294191674.157942
2011-07-16 12:00:00,2011-07-16 12:00:00,3280903785.6973953
2011-07-17 12:00:00,2011-07-17 12:00:00,3212474572.2392516
2011-07-18 12:00:00,2011-07-18 12:00:00,3232864222.143157
2011-07-19 12:00:00,2011-07-19 12:00:00,3240367329.1479974
2011-07-20 12:00:00,2011-07-20 12:00:00,3214708984.8008122
2011-07-21 12:00:00,2011-07-21 12:00:00,3040334100.918851
2011-07-22 12:00:00,2011-07-22 12:00:00,3098333711.850444
